"itemcode";"itemname";"position";"building";"location";"detail_location";"detail_counted";"counted_by";"onhand";"counted";"colisage_vente";"colisage_achat";"codebars";"pcb_pal";"pu_ht"
"026554";"CAPRIMO CAPPUCCINO VANILLE 1 KG";2;"sis2";"8b";"9-12";;;28;-1;1;10;"7350022390072";1;13.79
"026558";"CAPRIMO CHAI LATTE 1 KG";3;"sis2";"8b";"9-12";;;205;-1;1;10;"7350022392731";1;13.79
"024178";"BONJOUR RICORE 400G";4;"sis2";"8b";"9-12";;;7;-1;1;6;"3033710071005";1;6.35
"026097";"NESCAFE SPECIAL FILTRE 2GRX25";5;"sis2";"8b";"9-12";;;43;-1;1;12;"3033710076017";1;3.15
"013802";"CHOC KITS 200G X 12";6;"sis2";"8b";"9-12";;;13;-1;1;12;"6001056119009";1;2.25
"012105";"LOACKER 45GX25 CACAO";7;"sis2";"8b";"9-12";;;1;-1;1;1;"8000380101269";1;13.65
"013803";"CHOC KITS WHITE 200 GR X 12";8;"sis2";"8b";"9-12";;;5;-1;1;12;"6001056119016";1;2.19
"026524";"NESCAFE CAPPUCCINO STICKS 14 GR x 10";9;"sis2";"8b";"9-12";;;2;-1;1;6;"3033710047765";1;3.89
"026540";"CAFE MOULU LE LION ARABICA 250 GR";10;"sis2";"8b";"9-12";;;32;-1;24;24;"3352330590483";1;3.55
"013808";"LOACKER 175 GR CACAO";11;"sis2";"8b";"9-12";;;3;-1;1;18;"8000380007264";1;1.91
"013808";"LOACKER 175 GR CACAO";12;"sis2";"8b";"9-12";;;3;-1;1;18;"8000380007264";1;1.91
"012103";"LOACKER 45GX25 NAPOLITANER";13;"sis2";"8b";"9-12";;;0;-1;1;1;"8000380101214";1;13.19
"012105";"LOACKER 45GX25 CACAO";14;"sis2";"8b";"9-12";;;1;-1;1;1;"8000380101269";1;13.65
"012104";"LOACKER 45GX25 LAIT";15;"sis2";"8b";"9-12";;;0;-1;1;1;"8000380101276";1;13.65
"013800";"LOACKER 45GX25 VANILLE";16;"sis2";"8b";"9-12";;;3;-1;1;1;"8000380101245";1;13.65
"820301";"CAFE EN GRAINS SIS 1KG";17;"sis2";"8b";"9-12";;;595;-1;15;15;"3269578203016";63;2.98
"026539";"CAFE MOULU LE LION VANILLE 250 GR";18;"sis2";"8b";"9-12";;;50;-1;24;24;"3352330590506";1;4.49
"026538";"CAFE MOULU LE LION DOSETTES X 40";19;"sis2";"8b";"9-12";;;15;-1;1;14;"3352330590605";1;5.99
"026522";"NESCAFE SELECTION CAFE 200G";20;"sis2";"8b";"9-12";;;40;-1;1;6;"3033710075225";1;7.43
"026523";"NESCAFE SELECTION CAFE 50G";21;"sis2";"8b";"9-12";;;54;-1;12;12;"3033710075232";1;2.96
"026553";"CAPRIMO CAPPUCCINO 1 KG";0;"sis2";"8b";"13-15";;;87;-1;1;10;"7350022390058";1;13.79
"026555";"CAPRIMO CAPPUCCINO NOISET. 1 KG";1;"sis2";"8b";"13-15";;;9;-1;1;10;"7350022390539";1;13.79
"026512";"NESCAFE DOLCE GUSTO LUNGO x 16";2;"sis2";"8b";"13-15";;;35;-1;1;6;"7613037883121";1;5.29
"026514";"NESCAFE DOLCE GUSTO ESPRESSO 96 GR x 16";3;"sis2";"8b";"13-15";;;61;-1;1;6;"7613037928532";1;5.29
"026509";"NESCAFE DOLCE GUSTO ESP. RISTRETTO x 16";4;"sis2";"8b";"13-15";;;51;-1;1;6;"7613032341640";1;5.29
"026520";"NESCAFE DOLCE GUSTO GRANDE X 16";5;"sis2";"8b";"13-15";;;41;-1;1;6;"7613032584573";1;5.29
"026508";"NESCAFE DOLCE GUSTO NESQUIK x 16";6;"sis2";"8b";"13-15";;;34;-1;1;6;"7613033162220";1;5.29
"026513";"NESCAFE DOLCE GUSTO EXP. INTENSO 128 G";7;"sis2";"8b";"13-15";;;103;-1;1;6;"7613036868082";1;5.29
"026536";"NESCAFE DOLCE GUSTO EXPRESSO BIO COLOMBIE";8;"sis2";"8b";"13-15";;;47;-1;1;6;"7613036318129";1;5.29
"026568";"NESCAFE DOLCE GUSTO EXPRESSO BIO PERU";9;"sis2";"8b";"13-15";;;36;-1;1;6;"7613036324953";1;5.29
"026506";"NESCAFE DOLCE GUSTO CAFE AU LAIT";10;"sis2";"8b";"13-15";;;5;-1;1;6;"7613033174667";1;5.29
"026515";"NESCAFE DOLCE GUSTO CAPPUCINO 200 G x 8";11;"sis2";"8b";"13-15";;;17;-1;1;6;"7613036271868";1;5.29
"026516";"NESCAFE DOLCE GUSTO CHOCOCINO 270 G x 8";12;"sis2";"8b";"13-15";;;30;-1;1;6;"7613035690639";1;5.29
"026501";"NESCAFE DOLCE GUSTO RICORE LATTE";13;"sis2";"8b";"13-15";;;3;-1;1;6;"7613035001848";1;5.29
"026455";"NAPPAGE CARAMEL BEURRE SALE 320 GR";0;"sis2";"9a";"9-12";;;62;-1;1;12;"3102870057089";1;3.49
"026430";"NESTLE DOCELLO SAUCE CARAMEL 1 KG";1;"sis2";"9a";"9-12";;;12;-1;1;6;"3033710037452";1;6.69
"064063";"FARINE POUR PIZZA T65 VRAC 25 KG (KG)";2;"sis2";"9a";"9-12";;;11900;-1;25;25;"3760280521813";60;0.9
"026437";"NESTLE DOCELLO SAUCE FRUITS RGES 1 KG";3;"sis2";"9a";"9-12";;;6;-1;1;6;"3033710037469";1;6.69
"026431";"NESTLE DOCELLO SAUCE CHOCOLAT FROID 1 KG";4;"sis2";"9a";"9-12";;;14;-1;1;6;"3033710037360";1;6.69
"026432";"NESTLE DOCELLO SAUCE FRAISE 1 KG";5;"sis2";"9a";"9-12";;;5;-1;1;6;"3033710037353";1;6.99
"026435";"NESTLE DOCELLO SAUCE CAFE 1 KG";6;"sis2";"9a";"9-12";;;8;-1;1;6;"3033710037445";1;6.99
"039052";"PREPARATION DESSERT NESTLE MOELLEUX CHOCO 344GR";7;"sis2";"9a";"9-12";;;5;-1;1;10;"7613034060679";1;3.79
"064066";"FARINE T45 VRAC X 25 KG";8;"sis2";"9a";"9-12";;;75;-1;25;25;"3051100025001";30;0.69
"039053";"PREPARATION DESSERT NESTLE FONDANT CHOCO 317GR";9;"sis2";"9a";"9-12";;;5;-1;1;10;"7613034060709";1;3.79
"026436";"NESTLE DOCELLO CREME BRULEE 1 KG 100 portions";10;"sis2";"9a";"9-12";;;5;-1;1;6;"9002100033569";1;9.65
"026434";"NESTLE DOCELLO MOUSSE CHOCOLAT 1,5 KG 105 PORTIONS";11;"sis2";"9a";"9-12";;;13;-1;1;6;"9002100033798";1;18.69
"064067";"FARINE MENAGERE T55 ""CLAIR DELIGNE"" VRAC 25 KG (KG)";12;"sis2";"9a";"9-12";;;0;-1;25;25;;60;0.65
"064065";"FARINE MENAGERE 1KG ""MOULIN VERT"" X 10";13;"sis2";"9a";"9-12";;;1047;-1;10;10;"3301421003005";55;0.83
"629048";"CORNETS SIMPLE x 324pcs";14;"sis2";"9a";"9-12";;;10;-1;1;1;;1;27
"113132";"SAUCE COLONA 500ML MOUTARDE DIJON FLACON";0;"sis2";"11a";"28-31";;;239;-1;1;12;"5410803520226";1;2.49
"113134";"SAUCE COLONA 500ml KETCHUP FLACON";1;"sis2";"11a";"28-31";;;137;-1;1;12;"5410803520059";1;2.49
"113056";"SAUCE COLONA 340GR KETCHUP";2;"sis2";"11a";"28-31";;;14;-1;1;12;"5410803390010";1;1.89
"113059";"SAUCE COLONA 340GR MAYONNAISE";3;"sis2";"11a";"28-31";;;38;-1;1;12;"5410803390003";1;1.89
"113088";"SAUCE COLONA 3L PITTA";4;"sis2";"11a";"28-31";;;48;-1;1;3;"5410803809178";1;12.29
"113086";"SAUCE COLONA 3L SAMOURAI";5;"sis2";"11a";"28-31";;;64;-1;1;3;"5410803809048";1;13.49
"113088";"SAUCE COLONA 3L PITTA";6;"sis2";"11a";"28-31";;;48;-1;1;3;"5410803809178";1;12.29
"113087";"SAUCE COLONA 3L ALGERIENNE";7;"sis2";"11a";"28-31";;;1;-1;1;3;"5410803809314";1;11.29
"113030";"SAUCE COLONA 3L CAESAR";8;"sis2";"11a";"28-31";;;7;-1;1;3;"5410803320130";1;11.45
"113085";"SAUCE COLONA 3L BRAZIL";9;"sis2";"11a";"28-31";;;104;-1;1;3;"5410803809246";1;10.99
"113013";"SAUCE COLONA TUNISIENNE FLACON 900ML";10;"sis2";"11a";"28-31";;;676;-1;1;12;"5410803300736";40;4.15
"113061";"SAUCE COLONA MAROCAINE FLACON 850ml";11;"sis2";"11a";"28-31";;;575;-1;1;12;"5410803300729";40;4.15
"113062";"SAUCE COLONA SAMOURAI FLACON 840ml";12;"sis2";"11a";"28-31";;;1648;-1;1;12;"5410803300590";40;4.15
"113043";"SAUCE COLONA PITTA FLACON 840ML";13;"sis2";"11a";"28-31";;;1329;-1;1;12;"5410803010093";40;4.15
"113038";"SAUCE COLONA ALGERIENNE FLACON 850ML";14;"sis2";"11a";"28-31";;;4166;-1;1;12;"5410803300743";40;4.15
"113063";"SAUCE COLONA BRAZIL FLACON 936ml";15;"sis2";"11a";"28-31";;;2565;-1;1;12;"5410803300897";40;4.15
"625220";"GOBELET CARTON 9OZ - 270ML ""PAROLE"" X 100";0;"sis2";"8a_3";2;;;163;-1;1;25;"8420499229096";1;4.49
"625218";"GOBELET CARTON 12OZ - 360ML ""PAROLE"" X 100 GDP";1;"sis2";"8a_3";4;;;433;-1;1;20;"8420499229072";1;5.55
"625218";"GOBELET CARTON 12OZ - 360ML ""PAROLE"" X 100 GDP";2;"sis2";"8a_3";5;;;433;-1;1;20;"8420499229072";1;5.55
"621054";"COUVERCLE DOME PET POUR POT 90ML X 100";3;"sis2";"8a_3";7;;;514;-1;1;20;"8420499205274";1;4.65
"626108";"COUVERCLE A CAFE NOIR POUR 360ML / 480ML x 100";4;"sis2";"8a_3";9;;;156;-1;1;10;"8420499179179";1;3.35
"625245";"COUVERCLE A CAFE NOIR POUR 240ML x 100";5;"sis2";"8a_3";10;;;398;-1;1;10;"8420499179155";1;2.95
"626083";"COUVERCLE A CAFE NOIR POUR 120ML x 100";6;"sis2";"8a_3";11;;;284;-1;1;10;;1;2.9
"012165";"LAY'S STAX BARBECUE 170 GR";7;"sis2";"8a_3";12;;;510;-1;15;15;"3168930011361";40;1.85
"012186";"LAY'S A L ANCIENNE 145GR";8;"sis2";"8a_3";13;;;4005;-1;20;20;"3168930003366";28;1.75
"628024";"SAC CROISSANTS BLC N° 5 - 19+8X26CM X 500 ""PAROLE"" GDP";0;"sis2";"10a_3";3;;;160;-1;1;8;"8420499229157";1;8.79
"628020";"SAC CROISSANTS BLC N° 2 - 12+5X22CM X 500 ""PAROLE"" GDP";1;"sis2";"10a_3";4;;;354;-1;1;8;"8420499229119";1;5.55
"628154";"KIT COUVERT BOIS FOURCHETTE/CUILLERE/SERV x100";2;"sis2";"10a_3";6;;;120;-1;1;5;"6973871200012";1;12.59
"628188";"KIT COUVERT BOIS FOURCHETTE/SERVIETTE X 100";3;"sis2";"10a_3";7;;;55;-1;1;5;"6973871200043";1;9.45
"628149";"KIT COUVERT BOIS FOURCHETTE/COUTEAU/SERVIETTE x 100";4;"sis2";"10a_3";8;;;117;-1;1;5;"6973871200029";1;12.59
"625232";"BOITE PANINI CARTON ""PAROLE"" 26x12x7 CM x 50";5;"sis2";"10a_3";10;;;191;-1;1;6;"8420499219967";21;11.35
"625232";"BOITE PANINI CARTON ""PAROLE"" 26x12x7 CM x 50";6;"sis2";"10a_3";11;;;191;-1;1;6;"8420499219967";21;11.35
"629036";"LUNCHBOX CARTON ""PAROLE"" 22.5x18x9 CM x 50";7;"sis2";"10a_3";12;;;178;-1;1;6;"8420499219998";1;12.99
"062135";"CHAMPIGNONS PARFUMES EMINCES 1 KG ORIG:CHINE";0;"sis2";"9b_3";12;;;50;-1;1;10;"3379140107557";1;29.99
"999997";"LIVRAISON";1;"sis2";"9b_3";13;;;0;-1;1;1;;1;0
"999997";"LIVRAISON";2;"sis2";"9b_3";15;;;0;-1;1;1;;1;0
"628021";"SAC CROISSANTS BLC N° 3 - 14+7X22CM X 500 ""PAROLE"" GDP";0;"sis2";"9a_3";2;;;615;-1;1;8;"8420499229126";1;6.45
"628021";"SAC CROISSANTS BLC N° 3 - 14+7X22CM X 500 ""PAROLE"" GDP";1;"sis2";"9a_3";3;;;615;-1;1;8;"8420499229126";1;6.45
"628023";"SAC CROISSANTS BLC N° 1 - 12+5X14CM X 500 ""PAROLE"" GDP";2;"sis2";"9a_3";5;;;1620;-1;1;12;"8420499229140";1;3.99
"628023";"SAC CROISSANTS BLC N° 1 - 12+5X14CM X 500 ""PAROLE"" GDP";3;"sis2";"9a_3";6;;;1620;-1;1;12;"8420499229140";1;3.99
"628023";"SAC CROISSANTS BLC N° 1 - 12+5X14CM X 500 ""PAROLE"" GDP";4;"sis2";"9a_3";7;;;1620;-1;1;12;"8420499229140";1;3.99
"999997";"LIVRAISON";5;"sis2";"9a_3";8;;;0;-1;1;1;;1;0
"628020";"SAC CROISSANTS BLC N° 2 - 12+5X22CM X 500 ""PAROLE"" GDP";6;"sis2";"9a_3";9;;;354;-1;1;8;"8420499229119";1;5.55
"628023";"SAC CROISSANTS BLC N° 1 - 12+5X14CM X 500 ""PAROLE"" GDP";7;"sis2";"9a_3";10;;;1620;-1;1;12;"8420499229140";1;3.99
"628023";"SAC CROISSANTS BLC N° 1 - 12+5X14CM X 500 ""PAROLE"" GDP";8;"sis2";"9a_3";11;;;1620;-1;1;12;"8420499229140";1;3.99
"999997";"LIVRAISON";9;"sis2";"9a_3";12;;;0;-1;1;1;;1;0
"626141";"CORNET PAPIER INGRAISS. 34X24CM ""TIMES"" X 250 GDP";10;"sis2";"9a_3";13;;;439;-1;1;4;"8420499167459";72;8.99
"999997";"LIVRAISON";11;"sis2";"9a_3";14;;;0;-1;1;1;;1;0
"999997";"LIVRAISON";12;"sis2";"9a_3";15;;;0;-1;1;1;;1;0
"999997";"LIVRAISON";0;"sis2";"8b_3";1;;;0;-1;1;1;;1;0
"628021";"SAC CROISSANTS BLC N° 3 - 14+7X22CM X 500 ""PAROLE"" GDP";1;"sis2";"8b_3";2;;;615;-1;1;8;"8420499229126";1;6.45
"628020";"SAC CROISSANTS BLC N° 2 - 12+5X22CM X 500 ""PAROLE"" GDP";2;"sis2";"8b_3";4;;;354;-1;1;8;"8420499229119";1;5.55
"999997";"LIVRAISON";3;"sis2";"8b_3";5;;;0;-1;1;1;;1;0
"999997";"LIVRAISON";4;"sis2";"8b_3";6;;;0;-1;1;1;;1;0
"722204";"BARQUETTE CHARCUTIERE 375CC x 250";5;"sis2";"8b_3";7;;;874;-1;1;10;"3000010210106";1;8.15
"722203";"BARQUETTE CHARCUTIERE 250CC x250";6;"sis2";"8b_3";8;;;240;-1;1;14;"3000010210083";1;5.99
"722007";"BARQUETTE CHARCUTIERE 750CC x250";7;"sis2";"8b_3";9;;;201;-1;1;6;"3000010210144";1;13.79
"999997";"LIVRAISON";8;"sis2";"8b_3";10;;;0;-1;1;1;;1;0
"999997";"LIVRAISON";9;"sis2";"8b_3";12;;;0;-1;1;1;;1;0
"999997";"LIVRAISON";10;"sis2";"8b_3";13;;;0;-1;1;1;;1;0
"628030";"SACHETS FRITES INGRAIS. BLC 12X12CM ""PAROLE"" X 1000 GDP";11;"sis2";"8b_3";15;;;69;-1;1;8;"8420499229263";1;8.45
"999997";"LIVRAISON";0;"sis2";"8b_2";1;;;0;-1;1;1;;1;0
"026526";"LAIT CONCENTRE SUCRE NESTLE 1Kg";1;"sis2";"8b_2";2;;;163;-1;1;12;"3033710050000";1;6.18
"999997";"LIVRAISON";2;"sis2";"8b_2";3;;;0;-1;1;1;;1;0
"024181";"CEREALE LION 480GR";3;"sis2";"8b_2";6;;;175;-1;1;22;"7613032192570";1;4.95
"024177";"CEREALE NESQUICK 450 GR";4;"sis2";"8b_2";7;;;78;-1;1;12;"7613035144699";1;3.79
"026547";"CAPRIMO / LE ROYAL DOS. CHOCOLAT CHAUD 16.5% CACAO 20GR X 100";5;"sis2";"8b_2";9;;;56;-1;1;1;"7350022395145";1;39.99
"999997";"LIVRAISON";6;"sis2";"8b_2";13;;;0;-1;1;1;;1;0
"064020";"FARINE RIZ GLUANT 400 GR EAGLOBE";0;"sis2";"9a_2";4;;;384;-1;1;50;"3379140602465";1;1.39
"051040";"LEVURE CHIMIQUE 1 KG";1;"sis2";"9a_2";5;;;143;-1;1;6;"3027030032648";1;6.19
"055029";"MIEL FLEURS BIO ORGANIC 1 KG LUNE DE MIEL";2;"sis2";"9a_2";7;;;156;-1;1;1;"3088541007112";400;13.38
"999997";"LIVRAISON";3;"sis2";"9a_2";8;;;0;-1;1;1;;1;0
"999997";"LIVRAISON";4;"sis2";"9a_2";9;;;0;-1;1;1;;1;0
"019810";"ANANAS MORCEAU AU SIROP 3,05 KG";5;"sis2";"9a_2";10;;;332;-1;1;6;"3379140621343";1;7.99
"442021";"SIROP D'ERABLE 1 L KIRKLAND";6;"sis2";"9a_2";12;;;334;-1;1;1;"096619955886";648;16.99
"019810";"ANANAS MORCEAU AU SIROP 3,05 KG";7;"sis2";"9a_2";14;;;332;-1;1;6;"3379140621343";1;7.99
"026421";"CREME DE COCO 400 GR PSP";8;"sis2";"9a_2";15;;;274;-1;1;24;"8851011322184";1;2.69
"223057";"CONCENTRE DOUBLE TOMATE MUTTI 4/4 - 880GR";0;"sis2";"9b_2";4;;;751;-1;1;6;"8005110020001";1;5.99
"999997";"LIVRAISON";1;"sis2";"9b_2";5;;;0;-1;1;1;;1;0
"223052";"CONCENTRE DOUBLE TOMATES SARAH 1/2 440GR PNE";2;"sis2";"9b_2";6;;;0;-1;1;12;"8021083002110";82;1.29
"999997";"LIVRAISON";3;"sis2";"9b_2";7;;;0;-1;1;1;;1;0
"062138";"POUSSES DE BAMBOU COUPEES ""GLOBE"" 2.72KG";4;"sis2";"9b_2";8;;;66;-1;1;6;"3379140506329";1;5.75
"999997";"LIVRAISON";5;"sis2";"9b_2";9;;;0;-1;1;1;;1;0
"222017";"CHAMPIGNON PIED&MRCX 4/4 (460gr) LIMBURG";6;"sis2";"9b_2";10;;;707;-1;12;12;"8710609351428";64;1.81
"999997";"LIVRAISON";7;"sis2";"9b_2";11;;;0;-1;1;1;;1;0
"217016";"ZWAN SAUC.COCKTAIL PORC PIMENT 200GR";8;"sis2";"9b_2";12;;;2543;-1;24;24;"8714555192470";153;1.85
"062146";"CHAMPIGNONS NOIRS SECHES EAGLOBE 1000 GR";9;"sis2";"9b_2";13;;;336;-1;1;10;"3379140182776";1;27.59
"062146";"CHAMPIGNONS NOIRS SECHES EAGLOBE 1000 GR";10;"sis2";"9b_2";14;;;336;-1;1;10;"3379140182776";1;27.59
"062146";"CHAMPIGNONS NOIRS SECHES EAGLOBE 1000 GR";11;"sis2";"9b_2";15;;;336;-1;1;10;"3379140182776";1;27.59
"999997";"LIVRAISON";0;"sis2";"10a_";1;;;0;-1;1;1;;1;0
"999997";"LIVRAISON";1;"sis2";"10a_";2;;;0;-1;1;1;;1;0
"999997";"LIVRAISON";2;"sis2";"10a_";7;;;0;-1;1;1;;1;0
"999997";"LIVRAISON";3;"sis2";"10a_";8;;;0;-1;1;1;;1;0
"213043";"CASSOULET P'TIT GOURMAND H.ROUGE CREOLE PIMENTE 840gr (4/4)";4;"sis2";"10a_";12;;;354;-1;6;6;"3503361463257";1;2.95
"629016";"MOULE ROND ALU TARTE ""T0247"" (x100)";0;"sis2";"12b_3";1;;;123;-1;1;4;"3434030015449";1;14.45
"723054";"BARQUETTE ALU BORD DROIT ""BO 500"" 0.5L (x100)";1;"sis2";"12b_3";2;;;115;-1;1;16;"3434030015104";1;6.09
"621028";"BARQUETTE ALU COUV METRO 1500MLX50";2;"sis2";"12b_3";3;;;0;-1;1;1;"3439496802947";1;22.84
"629002";"ASSIETTE CARRE EN CARTON BLANC RAINE 19x19CM X 250";3;"sis2";"12b_3";4;;;0;-1;1;1;"18420499183685";1;8.99
"999997";"LIVRAISON";4;"sis2";"12b_3";5;;;0;-1;1;1;;1;0
"621142";"BARQUETTE BOIS RECTANGLE AV/PAPIER CUISSON 100X45X30MM (95ML) x 25";5;"sis2";"12b_3";6;;;234;-1;1;1;"3573972014834";1;9.99
"621141";"BARQUETTE BOIS CARREE AV/ PAPIER CUISSON 70X70X55MM (180ML) X 25";6;"sis2";"12b_3";7;;;276;-1;1;1;"3573972014797";1;9.99
"629033";"CONE CREPE CARTON BLANC 150X135MM x 100";0;"sis2";"12b_2";1;;;228;-1;1;7;"629033";1;9.85
"629234";"ASSIETTE RONDE CARTON BLANC BIO-LAQUÉE 15CM X 50";1;"sis2";"12b_2";2;;;1424;-1;1;18;"8420499225159";1;1.9
"621058";"ASSIETTE RONDE PLAST. 17CM BLANCHE X50";2;"sis2";"12b_2";3;;;730;-1;1;9;"3601020491174";1;1.99
"629225";"BARQUETTE CUISSON BOIS 23x13x7CM + MOULE SILICONE X 25";3;"sis2";"12b_2";4;;;47;-1;1;4;"8420499154954";1;19.39
"629224";"BARQUETTE CUISSON BOIS 14x9x4.5CM + MOULE SILICONE X 25";4;"sis2";"12b_2";5;;;50;-1;1;16;"8420499154886";1;9.99
"629020";"BARQUETTE CUISSON BOIS 255X115 H70 +CAISSETTE CUISSON X 10";5;"sis2";"12b_2";6;;;44;-1;1;2;"629020";1;5.2
"629011";"BARQUETTE CUISSON BOIS 130X90 H40 +CAISSETTE CUISSON X 100";6;"sis2";"12b_2";7;;;22;-1;1;4;"629011";1;29.8
"621148";"POT DESSERT CARTON ""NATURAL"" 90ML X 50";0;"sis2";"13a_3";1;;;539;-1;1;40;"8420499222882";1;2
"999997";"LIVRAISON";1;"sis2";"13a_3";2;;;0;-1;1;1;;1;0
"723133";"PLATEAU CARTON OR  28X42CM X100";2;"sis2";"13a_3";3;;;25;-1;1;1;"723133";1;54.49
"999997";"LIVRAISON";3;"sis2";"13a_3";5;;;0;-1;1;1;;1;0
"620015";"POT A GLACE KRAFT 3OZ (89 ML) x 50";4;"sis2";"13a_3";6;;;742;-1;1;20;"3434030022713";1;2.49
"629034";"POT A WRAPS KRAFT BRUN 5.5OZ X 50";5;"sis2";"13a_3";7;;;2;-1;1;24;"3700466041056";20;4.99
"999997";"LIVRAISON";0;"sis2";"13a_2";1;;;0;-1;1;1;;1;0
"629165";"POT SALADE PLAST. 12OZ (35 CL) X 50";1;"sis2";"13a_2";2;;;55;-1;1;10;"3434030013995";1;6.59
"999997";"LIVRAISON";2;"sis2";"13a_2";3;;;0;-1;1;1;;1;0
"621160";"POT DESSERT CARTON ""PAROLE"" 240ML X 50";3;"sis2";"13a_2";4;;;346;-1;1;40;"8420499230337";1;2.99
"999997";"LIVRAISON";4;"sis2";"13a_2";5;;;0;-1;1;1;;1;0
"626057";"COUVERCLE POUR POT 500ML X 100";5;"sis2";"13a_2";6;;;176;-1;1;10;"8420499159249";1;5.99
"620013";"POT A GLACE EN CARTON 2 BOULES X 50";6;"sis2";"13a_2";7;;;83;-1;1;20;"6091313200762";1;3.75
"626065";"BOITE RECTANGLE KRAFT FROID/CHAUD + COUV. PET 700ML X 50";0;"sis2";"13b_3";2;;;143;-1;1;4;"8420499226972";1;11.89
"629103";"BOITE KRAFT + FENETRE ANTI-BUEE 1000ML x50";1;"sis2";"13b_3";4;;;155;-1;1;4;"8420499224466";24;19.99
"625283";"LUNCHBOX 1L BAGASSE BIONIC 16.5x22.5x6.4CM x 50";2;"sis2";"13b_3";5;;;248;-1;1;4;"8420499212821";42;11.99
"629103";"BOITE KRAFT + FENETRE ANTI-BUEE 1000ML x50";3;"sis2";"13b_3";6;;;155;-1;1;4;"8420499224466";24;19.99
"625283";"LUNCHBOX 1L BAGASSE BIONIC 16.5x22.5x6.4CM x 50";4;"sis2";"13b_3";7;;;248;-1;1;4;"8420499212821";42;11.99
"999997";"LIVRAISON";0;"sis2";"14b_4";1;;;0;-1;1;1;;1;0
"999997";"LIVRAISON";1;"sis2";"14b_4";2;;;0;-1;1;1;;1;0
"999997";"LIVRAISON";2;"sis2";"14b_4";3;;;0;-1;1;1;;1;0
"999997";"LIVRAISON";3;"sis2";"14b_4";4;;;0;-1;1;1;;1;0
"999997";"LIVRAISON";4;"sis2";"14b_4";5;;;0;-1;1;1;;1;0
"999997";"LIVRAISON";5;"sis2";"14b_4";6;;;0;-1;1;1;;1;0
"629152";"BOITE SALADE KRAFT ""GOOD"" 750 ML X 50";6;"sis2";"14b_4";7;;;133;-1;1;6;"3434030022430";1;8.35
"626064";"BOL ROND CARTON NOIR FROID/CHAUD 1000ML X 50";0;"sis2";"15a_4";1;;;98;-1;1;6;"8420499226361";1;13.19
"625026";"BOL SAUCE BAGASSE BLANC 120ML + COUV. X 50";1;"sis2";"15a_4";2;;;226;-1;1;16;"8420499228853";1;6.75
"625029";"BOL SAUCE PLISSE BLANC INGRAIS. 60ML X 250";2;"sis2";"15a_4";3;;;309;-1;1;20;"8420499126739";1;3.9
"626062";"BOL ROND CARTON NOIR FROID/CHAUD 750ML X 50";3;"sis2";"15a_4";4;;;80;-1;1;6;"8420499226347";1;11.49
"626061";"BOL ROND CARTON BLANC FROID/CHAUD 750ML X 50";4;"sis2";"15a_4";5;;;156;-1;1;6;"8420499226330";1;9.99
"626063";"BOL ROND CARTON BLANC FROID/CHAUD 1000ML X 50";5;"sis2";"15a_4";6;;;89;-1;1;6;"8420499226354";1;11.99
"999997";"LIVRAISON";6;"sis2";"15a_4";7;;;0;-1;1;1;;1;0
"623038";"SERVIETTES ECOLABEL 39X39CM DBLE POINT X 50 HAVANE GDP";0;"sis2";"15b_4";1;;;438;-1;1;24;"8420499166643";1;1.79
"629117";"POT KRAFT CARRE A PLAT CHAUD 9X7,5X11CM 960ML X 50";1;"sis2";"15b_4";2;;;327;-1;1;9;"8420499223254";10;12.65
"999997";"LIVRAISON";2;"sis2";"15b_4";3;;;0;-1;1;1;;1;0
"999997";"LIVRAISON";3;"sis2";"15b_4";4;;;0;-1;1;1;;1;0
"999997";"LIVRAISON";4;"sis2";"15b_4";5;;;0;-1;1;1;;1;0
"999997";"LIVRAISON";5;"sis2";"15b_4";6;;;0;-1;1;1;;1;0
"621023";"POT A PLAT CHAUD 500cc (16oz) x50";6;"sis2";"15b_4";7;;;55;-1;1;10;"3434030015609";1;8.99
"621038";"GOBELET BAMBOU 6OZ / 18 CL x 50";0;"sis2";"16a_4";1;;;1202;-1;1;20;"3434030024663";1;1.85
"999997";"LIVRAISON";1;"sis2";"16a_4";2;;;0;-1;1;1;;1;0
"999997";"LIVRAISON";2;"sis2";"16a_4";3;;;0;-1;1;1;;1;0
"625272";"GOBELET BAMBOU 8OZ / 25 CL x 50";3;"sis2";"16a_4";5;;;250;-1;1;20;"3434030024670";1;1.92
"999997";"LIVRAISON";4;"sis2";"16a_4";7;;;0;-1;1;1;;1;0
"628197";"SAC KRAFT SANS POIGNEES 14+8x24CM X 250";0;"sis2";"16b_4";1;;;301;-1;1;4;"18420499222308";24;12.99
"626108";"COUVERCLE A CAFE NOIR POUR 360ML / 480ML x 100";1;"sis2";"16b_4";4;;;156;-1;1;10;"8420499179179";1;3.35
"625245";"COUVERCLE A CAFE NOIR POUR 240ML x 100";2;"sis2";"16b_4";5;;;398;-1;1;10;"8420499179155";1;2.95
"628094";"SAC KRAFT AVEC POIGNEES 26+17x24CM X 250";3;"sis2";"16b_4";7;;;27;-1;1;1;"18420499157197";20;30.99
"623070";"NAPPE ELBE WE BL 8 X 1,2 M";0;"sis2";"17a_4";1;;;327;-1;1;16;"3434030017788";1;1.74
"626074";"PORTE-GOBELETS POUR 2 GOB. x 100";1;"sis2";"17a_4";3;;;159;-1;1;6;"8420499192222";20;10.79
